case_id,crime_category,ipc_section,case_facts,evidence_strength,number_of_witnesses,accused_prior_record,punishment_years,fine_amount,verdict,case_description
21,Theft,379,The accused was charged with theft under IPC section 379. Evidence strength was Weak. 5 witnesses were presented in court. Prior criminal record: Yes.,Weak,5,Yes,4,40086,Convicted,"This case involves a charge of Theft under IPC section 379. The prosecution presented evidence considered Weak in strength with testimony from 5 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
22,Theft,379,The accused was charged with theft under IPC section 379. Evidence strength was Moderate. 3 witnesses were presented in court. Prior criminal record: No.,Moderate,3,No,0,0,Acquitted,"This case involves a charge of Theft under IPC section 379. The prosecution presented evidence considered Moderate in strength with testimony from 3 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was acquitted due to insufficient evidence."
23,Sexual Assault,376,The accused was charged with sexual assault under IPC section 376. Evidence strength was Weak. 5 witnesses were presented in court. Prior criminal record: Yes.,Weak,5,Yes,17,36190,Convicted,"This case involves a charge of Sexual Assault under IPC section 376. The prosecution presented evidence considered Weak in strength with testimony from 5 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
24,Kidnapping,363,The accused was charged with kidnapping under IPC section 363. Evidence strength was Strong. 2 witnesses were presented in court. Prior criminal record: Yes.,Strong,2,Yes,7,29492,Convicted,"This case involves a charge of Kidnapping under IPC section 363. The prosecution presented evidence considered Strong in strength with testimony from 2 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
25,Assault,323,The accused was charged with assault under IPC section 323. Evidence strength was Moderate. 0 witnesses were presented in court. Prior criminal record: No.,Moderate,0,No,0,29525,Convicted,"This case involves a charge of Assault under IPC section 323. The prosecution presented evidence considered Moderate in strength with testimony from 0 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
26,Kidnapping,363,The accused was charged with kidnapping under IPC section 363. Evidence strength was Strong. 4 witnesses were presented in court. Prior criminal record: Yes.,Strong,4,Yes,5,25504,Convicted,"This case involves a charge of Kidnapping under IPC section 363. The prosecution presented evidence considered Strong in strength with testimony from 4 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
27,Assault,323,The accused was charged with assault under IPC section 323. Evidence strength was Strong. 4 witnesses were presented in court. Prior criminal record: Yes.,Strong,4,Yes,2,33021,Convicted,"This case involves a charge of Assault under IPC section 323. The prosecution presented evidence considered Strong in strength with testimony from 4 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
28,Murder,302,The accused was charged with murder under IPC section 302. Evidence strength was Weak. 2 witnesses were presented in court. Prior criminal record: No.,Weak,2,No,11,8892,Convicted,"This case involves a charge of Murder under IPC section 302. The prosecution presented evidence considered Weak in strength with testimony from 2 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
29,Smuggling,135,The accused was charged with smuggling under IPC section 135. Evidence strength was Weak. 0 witnesses were presented in court. Prior criminal record: No.,Weak,0,No,8,18455,Convicted,"This case involves a charge of Smuggling under IPC section 135. The prosecution presented evidence considered Weak in strength with testimony from 0 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
30,Assault,323,The accused was charged with assault under IPC section 323. Evidence strength was Weak. 5 witnesses were presented in court. Prior criminal record: No.,Weak,5,No,2,18290,Convicted,"This case involves a charge of Assault under IPC section 323. The prosecution presented evidence considered Weak in strength with testimony from 5 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
31,Smuggling,135,The accused was charged with smuggling under IPC section 135. Evidence strength was Moderate. 1 witnesses were presented in court. Prior criminal record: Yes.,Moderate,1,Yes,0,0,Acquitted,"This case involves a charge of Smuggling under IPC section 135. The prosecution presented evidence considered Moderate in strength with testimony from 1 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was acquitted due to insufficient evidence."
32,Drug Possession,21,The accused was charged with drug possession under IPC section 21. Evidence strength was Strong. 5 witnesses were presented in court. Prior criminal record: No.,Strong,5,No,9,34919,Convicted,"This case involves a charge of Drug Possession under IPC section 21. The prosecution presented evidence considered Strong in strength with testimony from 5 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
33,Corruption,13,The accused was charged with corruption under IPC section 13. Evidence strength was Weak. 1 witnesses were presented in court. Prior criminal record: Yes.,Weak,1,Yes,8,1689,Convicted,"This case involves a charge of Corruption under IPC section 13. The prosecution presented evidence considered Weak in strength with testimony from 1 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
34,Smuggling,135,The accused was charged with smuggling under IPC section 135. Evidence strength was Strong. 1 witnesses were presented in court. Prior criminal record: Yes.,Strong,1,Yes,2,5652,Convicted,"This case involves a charge of Smuggling under IPC section 135. The prosecution presented evidence considered Strong in strength with testimony from 1 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
35,Murder,302,The accused was charged with murder under IPC section 302. Evidence strength was Weak. 0 witnesses were presented in court. Prior criminal record: Yes.,Weak,0,Yes,0,0,Acquitted,"This case involves a charge of Murder under IPC section 302. The prosecution presented evidence considered Weak in strength with testimony from 0 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was acquitted due to insufficient evidence."
36,Theft,379,The accused was charged with theft under IPC section 379. Evidence strength was Strong. 1 witnesses were presented in court. Prior criminal record: No.,Strong,1,No,4,15040,Convicted,"This case involves a charge of Theft under IPC section 379. The prosecution presented evidence considered Strong in strength with testimony from 1 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
37,Sexual Assault,376,The accused was charged with sexual assault under IPC section 376. Evidence strength was Weak. 5 witnesses were presented in court. Prior criminal record: No.,Weak,5,No,19,16498,Convicted,"This case involves a charge of Sexual Assault under IPC section 376. The prosecution presented evidence considered Weak in strength with testimony from 5 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
38,Drug Possession,21,The accused was charged with drug possession under IPC section 21. Evidence strength was Weak. 0 witnesses were presented in court. Prior criminal record: Yes.,Weak,0,Yes,0,0,Acquitted,"This case involves a charge of Drug Possession under IPC section 21. The prosecution presented evidence considered Weak in strength with testimony from 0 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was acquitted due to insufficient evidence."
39,Cybercrime,66,The accused was charged with cybercrime under IPC section 66. Evidence strength was Moderate. 3 witnesses were presented in court. Prior criminal record: No.,Moderate,3,No,1,2986,Convicted,"This case involves a charge of Cybercrime under IPC section 66. The prosecution presented evidence considered Moderate in strength with testimony from 3 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
40,Drug Possession,21,The accused was charged with drug possession under IPC section 21. Evidence strength was Strong. 2 witnesses were presented in court. Prior criminal record: Yes.,Strong,2,Yes,5,13556,Convicted,"This case involves a charge of Drug Possession under IPC section 21. The prosecution presented evidence considered Strong in strength with testimony from 2 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
41,Cheating,420,The accused was charged with cheating under IPC section 420. Evidence strength was Strong. 3 witnesses were presented in court. Prior criminal record: Yes.,Strong,3,Yes,5,13025,Convicted,"This case involves a charge of Cheating under IPC section 420. The prosecution presented evidence considered Strong in strength with testimony from 3 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
42,Kidnapping,363,The accused was charged with kidnapping under IPC section 363. Evidence strength was Moderate. 1 witnesses were presented in court. Prior criminal record: Yes.,Moderate,1,Yes,0,0,Acquitted,"This case involves a charge of Kidnapping under IPC section 363. The prosecution presented evidence considered Moderate in strength with testimony from 1 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was acquitted due to insufficient evidence."
43,Sexual Assault,376,The accused was charged with sexual assault under IPC section 376. Evidence strength was Weak. 0 witnesses were presented in court. Prior criminal record: Yes.,Weak,0,Yes,19,28810,Convicted,"This case involves a charge of Sexual Assault under IPC section 376. The prosecution presented evidence considered Weak in strength with testimony from 0 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
44,Cheating,420,The accused was charged with cheating under IPC section 420. Evidence strength was Weak. 3 witnesses were presented in court. Prior criminal record: No.,Weak,3,No,0,0,Acquitted,"This case involves a charge of Cheating under IPC section 420. The prosecution presented evidence considered Weak in strength with testimony from 3 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was acquitted due to insufficient evidence."
45,Cheating,420,The accused was charged with cheating under IPC section 420. Evidence strength was Moderate. 0 witnesses were presented in court. Prior criminal record: Yes.,Moderate,0,Yes,0,0,Acquitted,"This case involves a charge of Cheating under IPC section 420. The prosecution presented evidence considered Moderate in strength with testimony from 0 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was acquitted due to insufficient evidence."
46,Murder,302,The accused was charged with murder under IPC section 302. Evidence strength was Moderate. 2 witnesses were presented in court. Prior criminal record: No.,Moderate,2,No,0,0,Acquitted,"This case involves a charge of Murder under IPC section 302. The prosecution presented evidence considered Moderate in strength with testimony from 2 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was acquitted due to insufficient evidence."
47,Drug Possession,21,The accused was charged with drug possession under IPC section 21. Evidence strength was Strong. 5 witnesses were presented in court. Prior criminal record: No.,Strong,5,No,4,13445,Convicted,"This case involves a charge of Drug Possession under IPC section 21. The prosecution presented evidence considered Strong in strength with testimony from 5 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
48,Kidnapping,363,The accused was charged with kidnapping under IPC section 363. Evidence strength was Weak. 0 witnesses were presented in court. Prior criminal record: Yes.,Weak,0,Yes,0,0,Acquitted,"This case involves a charge of Kidnapping under IPC section 363. The prosecution presented evidence considered Weak in strength with testimony from 0 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was acquitted due to insufficient evidence."
49,Murder,302,The accused was charged with murder under IPC section 302. Evidence strength was Weak. 4 witnesses were presented in court. Prior criminal record: No.,Weak,4,No,11,17640,Convicted,"This case involves a charge of Murder under IPC section 302. The prosecution presented evidence considered Weak in strength with testimony from 4 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
50,Theft,379,The accused was charged with theft under IPC section 379. Evidence strength was Weak. 0 witnesses were presented in court. Prior criminal record: Yes.,Weak,0,Yes,4,4928,Convicted,"This case involves a charge of Theft under IPC section 379. The prosecution presented evidence considered Weak in strength with testimony from 0 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
51,Smuggling,135,The accused was charged with smuggling under IPC section 135. Evidence strength was Weak. 4 witnesses were presented in court. Prior criminal record: Yes.,Weak,4,Yes,6,6372,Convicted,"This case involves a charge of Smuggling under IPC section 135. The prosecution presented evidence considered Weak in strength with testimony from 4 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
52,Drug Possession,21,The accused was charged with drug possession under IPC section 21. Evidence strength was Strong. 4 witnesses were presented in court. Prior criminal record: No.,Strong,4,No,6,14386,Convicted,"This case involves a charge of Drug Possession under IPC section 21. The prosecution presented evidence considered Strong in strength with testimony from 4 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
53,Cybercrime,66,The accused was charged with cybercrime under IPC section 66. Evidence strength was Weak. 2 witnesses were presented in court. Prior criminal record: No.,Weak,2,No,3,15982,Convicted,"This case involves a charge of Cybercrime under IPC section 66. The prosecution presented evidence considered Weak in strength with testimony from 2 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
54,Cybercrime,66,The accused was charged with cybercrime under IPC section 66. Evidence strength was Weak. 0 witnesses were presented in court. Prior criminal record: No.,Weak,0,No,1,18617,Convicted,"This case involves a charge of Cybercrime under IPC section 66. The prosecution presented evidence considered Weak in strength with testimony from 0 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
55,Cheating,420,The accused was charged with cheating under IPC section 420. Evidence strength was Strong. 2 witnesses were presented in court. Prior criminal record: Yes.,Strong,2,Yes,4,5508,Convicted,"This case involves a charge of Cheating under IPC section 420. The prosecution presented evidence considered Strong in strength with testimony from 2 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
56,Cheating,420,The accused was charged with cheating under IPC section 420. Evidence strength was Moderate. 2 witnesses were presented in court. Prior criminal record: Yes.,Moderate,2,Yes,0,0,Acquitted,"This case involves a charge of Cheating under IPC section 420. The prosecution presented evidence considered Moderate in strength with testimony from 2 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was acquitted due to insufficient evidence."
57,Sexual Assault,376,The accused was charged with sexual assault under IPC section 376. Evidence strength was Strong. 2 witnesses were presented in court. Prior criminal record: Yes.,Strong,2,Yes,17,37346,Convicted,"This case involves a charge of Sexual Assault under IPC section 376. The prosecution presented evidence considered Strong in strength with testimony from 2 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
58,Kidnapping,363,The accused was charged with kidnapping under IPC section 363. Evidence strength was Strong. 0 witnesses were presented in court. Prior criminal record: Yes.,Strong,0,Yes,7,8564,Convicted,"This case involves a charge of Kidnapping under IPC section 363. The prosecution presented evidence considered Strong in strength with testimony from 0 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
59,Theft,379,The accused was charged with theft under IPC section 379. Evidence strength was Strong. 4 witnesses were presented in court. Prior criminal record: Yes.,Strong,4,Yes,3,19465,Convicted,"This case involves a charge of Theft under IPC section 379. The prosecution presented evidence considered Strong in strength with testimony from 4 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
60,Smuggling,135,The accused was charged with smuggling under IPC section 135. Evidence strength was Weak. 5 witnesses were presented in court. Prior criminal record: No.,Weak,5,No,7,21782,Convicted,"This case involves a charge of Smuggling under IPC section 135. The prosecution presented evidence considered Weak in strength with testimony from 5 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
61,Kidnapping,363,The accused was charged with kidnapping under IPC section 363. Evidence strength was Strong. 3 witnesses were presented in court. Prior criminal record: No.,Strong,3,No,3,7048,Convicted,"This case involves a charge of Kidnapping under IPC section 363. The prosecution presented evidence considered Strong in strength with testimony from 3 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
62,Drug Possession,21,The accused was charged with drug possession under IPC section 21. Evidence strength was Moderate. 0 witnesses were presented in court. Prior criminal record: Yes.,Moderate,0,Yes,0,0,Acquitted,"This case involves a charge of Drug Possession under IPC section 21. The prosecution presented evidence considered Moderate in strength with testimony from 0 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was acquitted due to insufficient evidence."
63,Assault,323,The accused was charged with assault under IPC section 323. Evidence strength was Strong. 2 witnesses were presented in court. Prior criminal record: Yes.,Strong,2,Yes,3,37154,Convicted,"This case involves a charge of Assault under IPC section 323. The prosecution presented evidence considered Strong in strength with testimony from 2 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
64,Drug Possession,21,The accused was charged with drug possession under IPC section 21. Evidence strength was Strong. 0 witnesses were presented in court. Prior criminal record: Yes.,Strong,0,Yes,3,46286,Convicted,"This case involves a charge of Drug Possession under IPC section 21. The prosecution presented evidence considered Strong in strength with testimony from 0 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
65,Assault,323,The accused was charged with assault under IPC section 323. Evidence strength was Strong. 0 witnesses were presented in court. Prior criminal record: No.,Strong,0,No,1,29166,Convicted,"This case involves a charge of Assault under IPC section 323. The prosecution presented evidence considered Strong in strength with testimony from 0 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
66,Assault,323,The accused was charged with assault under IPC section 323. Evidence strength was Weak. 2 witnesses were presented in court. Prior criminal record: No.,Weak,2,No,2,7883,Convicted,"This case involves a charge of Assault under IPC section 323. The prosecution presented evidence considered Weak in strength with testimony from 2 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
67,Cheating,420,The accused was charged with cheating under IPC section 420. Evidence strength was Strong. 0 witnesses were presented in court. Prior criminal record: No.,Strong,0,No,6,27632,Convicted,"This case involves a charge of Cheating under IPC section 420. The prosecution presented evidence considered Strong in strength with testimony from 0 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
68,Smuggling,135,The accused was charged with smuggling under IPC section 135. Evidence strength was Strong. 1 witnesses were presented in court. Prior criminal record: Yes.,Strong,1,Yes,8,11649,Convicted,"This case involves a charge of Smuggling under IPC section 135. The prosecution presented evidence considered Strong in strength with testimony from 1 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
69,Assault,323,The accused was charged with assault under IPC section 323. Evidence strength was Moderate. 0 witnesses were presented in court. Prior criminal record: Yes.,Moderate,0,Yes,0,0,Acquitted,"This case involves a charge of Assault under IPC section 323. The prosecution presented evidence considered Moderate in strength with testimony from 0 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was acquitted due to insufficient evidence."
70,Drug Possession,21,The accused was charged with drug possession under IPC section 21. Evidence strength was Strong. 5 witnesses were presented in court. Prior criminal record: Yes.,Strong,5,Yes,6,11433,Convicted,"This case involves a charge of Drug Possession under IPC section 21. The prosecution presented evidence considered Strong in strength with testimony from 5 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
71,Theft,379,The accused was charged with theft under IPC section 379. Evidence strength was Moderate. 0 witnesses were presented in court. Prior criminal record: No.,Moderate,0,No,2,27757,Convicted,"This case involves a charge of Theft under IPC section 379. The prosecution presented evidence considered Moderate in strength with testimony from 0 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
72,Corruption,13,The accused was charged with corruption under IPC section 13. Evidence strength was Moderate. 2 witnesses were presented in court. Prior criminal record: Yes.,Moderate,2,Yes,3,22627,Convicted,"This case involves a charge of Corruption under IPC section 13. The prosecution presented evidence considered Moderate in strength with testimony from 2 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
73,Cheating,420,The accused was charged with cheating under IPC section 420. Evidence strength was Moderate. 2 witnesses were presented in court. Prior criminal record: No.,Moderate,2,No,4,12506,Convicted,"This case involves a charge of Cheating under IPC section 420. The prosecution presented evidence considered Moderate in strength with testimony from 2 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
74,Sexual Assault,376,The accused was charged with sexual assault under IPC section 376. Evidence strength was Moderate. 5 witnesses were presented in court. Prior criminal record: No.,Moderate,5,No,8,29738,Convicted,"This case involves a charge of Sexual Assault under IPC section 376. The prosecution presented evidence considered Moderate in strength with testimony from 5 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
75,Kidnapping,363,The accused was charged with kidnapping under IPC section 363. Evidence strength was Weak. 4 witnesses were presented in court. Prior criminal record: No.,Weak,4,No,4,20548,Convicted,"This case involves a charge of Kidnapping under IPC section 363. The prosecution presented evidence considered Weak in strength with testimony from 4 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
76,Drug Possession,21,The accused was charged with drug possession under IPC section 21. Evidence strength was Moderate. 5 witnesses were presented in court. Prior criminal record: No.,Moderate,5,No,0,0,Acquitted,"This case involves a charge of Drug Possession under IPC section 21. The prosecution presented evidence considered Moderate in strength with testimony from 5 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was acquitted due to insufficient evidence."
